Geography,Geographic_Area_Name,County,tot_pop_est,tot_pop_err,tot_pop_under_5_est,tot_pop_under_5_err,tot_pop_over_65_est,tot_pop_over_65_err,per_pop_under_5_est,per_pop_under_5_err,per_pop_over_65_est,per_pop_over_65_err
1400000US36005000100,"Census Tract 1, Bronx County, New York",Bronx,6600,684,0,17,73,59,0,0.5,1.1,0.9
1400000US36005000200,"Census Tract 2, Bronx County, New York",Bronx,4167,713,175,88,772,175,4.2,2.1,18.5,5.2
1400000US36005000400,"Census Tract 4, Bronx County, New York",Bronx,5684,986,99,79,801,335,1.7,1.5,14.1,4.8
1400000US36005001600,"Census Tract 16, Bronx County, New York",Bronx,5917,719,342,139,1146,404,5.8,2.3,19.4,5.7
1400000US36005001901,"Census Tract 19.01, Bronx County, New York",Bronx,1910,301,177,48,16,21,9.3,2.3,0.8,1.1
1400000US36005001902,"Census Tract 19.02, Bronx County, New York",Bronx,1334,305,128,58,81,48,9.6,4.4,6.1,3.5
1400000US36005001903,"Census Tract 19.03, Bronx County, New York",Bronx,0,12,0,12,0,12,-,**,-,**
1400000US36005001904,"Census Tract 19.04, Bronx County, New York",Bronx,0,12,0,12,0,12,-,**,-,**
1400000US36005002001,"Census Tract 20.01, Bronx County, New York",Bronx,4837,789,529,380,519,135,10.9,7.4,10.7,3.1
1400000US36005002002,"Census Tract 20.02, Bronx County, New York",Bronx,4768,1089,346,282,665,340,7.3,5.5,13.9,6.9
1400000US36005002300,"Census Tract 23, Bronx County, New York",Bronx,4517,588,189,92,563,115,4.2,1.9,12.5,3.3
1400000US36005002400,"Census Tract 24, Bronx County, New York",Bronx,0,12,0,12,0,12,-,**,-,**
1400000US36005002500,"Census Tract 25, Bronx County, New York",Bronx,5694,814,483,189,399,107,8.5,2.8,7,2
1400000US36005002701,"Census Tract 27.01, Bronx County, New York",Bronx,2672,588,292,171,366,129,10.9,4.8,13.7,5
1400000US36005002702,"Census Tract 27.02, Bronx County, New York",Bronx,4504,667,508,193,263,90,11.3,3.8,5.8,1.9
1400000US36005002800,"Census Tract 28, Bronx County, New York",Bronx,5030,894,448,370,903,167,8.9,6.2,18,5
1400000US36005003100,"Census Tract 31, Bronx County, New York",Bronx,1858,435,130,71,115,51,7,3.2,6.2,2.8
1400000US36005003300,"Census Tract 33, Bronx County, New York",Bronx,3140,664,91,67,177,124,2.9,2.1,5.6,4.1
1400000US36005003500,"Census Tract 35, Bronx County, New York",Bronx,3738,853,237,122,282,93,6.3,3.3,7.5,3.1
1400000US36005003700,"Census Tract 37, Bronx County, New York",Bronx,222,102,0,12,9,14,0,14.5,4.1,6.6
1400000US36005003800,"Census Tract 38, Bronx County, New York",Bronx,1169,166,68,53,218,63,5.8,3.9,18.6,5.6
1400000US36005003900,"Census Tract 39, Bronx County, New York",Bronx,6736,1039,602,256,748,413,8.9,3.7,11.1,5.9
1400000US36005004001,"Census Tract 40.01, Bronx County, New York",Bronx,1425,268,50,42,272,76,3.5,2.7,19.1,6.1
1400000US36005004100,"Census Tract 41, Bronx County, New York",Bronx,5865,1171,654,270,616,339,11.2,3.7,10.5,5.5
1400000US36005004200,"Census Tract 42, Bronx County, New York",Bronx,7789,1307,761,314,979,234,9.8,3.4,12.6,3.1
1400000US36005004300,"Census Tract 43, Bronx County, New York",Bronx,5421,670,370,149,526,115,6.8,2.6,9.7,2.3
1400000US36005004400,"Census Tract 44, Bronx County, New York",Bronx,4401,532,425,148,619,157,9.7,3.3,14.1,3.7
1400000US36005004600,"Census Tract 46, Bronx County, New York",Bronx,1854,370,157,54,233,73,8.5,2.9,12.6,4.5
1400000US36005004800,"Census Tract 48, Bronx County, New York",Bronx,4757,621,500,205,316,114,10.5,3.8,6.6,2.6
1400000US36005005001,"Census Tract 50.01, Bronx County, New York",Bronx,4465,673,345,139,547,185,7.7,2.4,12.3,4.1
1400000US36005005002,"Census Tract 50.02, Bronx County, New York",Bronx,6291,1042,657,238,484,158,10.4,3.1,7.7,2.5
1400000US36005005100,"Census Tract 51, Bronx County, New York",Bronx,5858,1046,350,219,684,277,6,3.4,11.7,4.6
1400000US36005005200,"Census Tract 52, Bronx County, New York",Bronx,1879,341,161,85,257,107,8.6,4.2,13.7,4.3
1400000US36005005300,"Census Tract 53, Bronx County, New York",Bronx,5142,756,655,215,281,158,12.7,3.4,5.5,3.1
1400000US36005005400,"Census Tract 54, Bronx County, New York",Bronx,5354,955,642,352,615,152,12,5.1,11.5,3.5
1400000US36005005600,"Census Tract 56, Bronx County, New York",Bronx,2113,327,104,57,542,132,4.9,2.6,25.7,4.8
1400000US36005005902,"Census Tract 59.02, Bronx County, New York",Bronx,2635,404,126,65,472,195,4.8,2.5,17.9,7
1400000US36005006000,"Census Tract 60, Bronx County, New York",Bronx,1266,357,64,41,191,124,5.1,3.5,15.1,6.7
1400000US36005006100,"Census Tract 61, Bronx County, New York",Bronx,3985,625,170,115,939,204,4.3,3,23.6,5.7
1400000US36005006200,"Census Tract 62, Bronx County, New York",Bronx,6995,863,215,158,850,305,3.1,2.1,12.2,4.1
1400000US36005006301,"Census Tract 63.01, Bronx County, New York",Bronx,4741,723,423,196,342,145,8.9,3.7,7.2,3
1400000US36005006302,"Census Tract 63.02, Bronx County, New York",Bronx,0,12,0,12,0,12,-,**,-,**
1400000US36005006400,"Census Tract 64, Bronx County, New York",Bronx,3949,635,279,144,635,251,7.1,3.4,16.1,6.6
1400000US36005006500,"Census Tract 65, Bronx County, New York",Bronx,5394,936,742,497,276,85,13.8,7.4,5.1,1.8
1400000US36005006700,"Census Tract 67, Bronx County, New York",Bronx,6682,1417,405,282,621,235,6.1,3.9,9.3,3.9
1400000US36005006800,"Census Tract 68, Bronx County, New York",Bronx,3147,610,212,125,586,261,6.7,4.3,18.6,7.3
1400000US36005006900,"Census Tract 69, Bronx County, New York",Bronx,7370,1242,576,286,934,251,7.8,3.6,12.7,3.6
1400000US36005007000,"Census Tract 70, Bronx County, New York",Bronx,4469,668,361,171,524,162,8.1,3.2,11.7,3.6
1400000US36005007100,"Census Tract 71, Bronx County, New York",Bronx,2877,441,309,190,218,96,10.7,5.5,7.6,3.5
1400000US36005007200,"Census Tract 72, Bronx County, New York",Bronx,6448,914,562,159,843,254,8.7,2.4,13.1,3.1
1400000US36005007300,"Census Tract 73, Bronx County, New York",Bronx,4229,734,360,188,269,65,8.5,4.2,6.4,1.9
1400000US36005007400,"Census Tract 74, Bronx County, New York",Bronx,3494,600,152,114,613,154,4.4,3.3,17.5,3.4
1400000US36005007500,"Census Tract 75, Bronx County, New York",Bronx,6345,867,446,148,674,209,7,2.3,10.6,3.5
1400000US36005007600,"Census Tract 76, Bronx County, New York",Bronx,5136,769,456,169,658,253,8.9,3.1,12.8,4.6
1400000US36005007700,"Census Tract 77, Bronx County, New York",Bronx,2037,496,166,73,172,43,8.1,3.7,8.4,3
1400000US36005007800,"Census Tract 78, Bronx County, New York",Bronx,7160,1025,491,222,614,207,6.9,2.8,8.6,2.8
1400000US36005007900,"Census Tract 79, Bronx County, New York",Bronx,6795,1067,581,284,450,137,8.6,3.6,6.6,2.3
1400000US36005008300,"Census Tract 83, Bronx County, New York",Bronx,5948,1014,389,224,558,168,6.5,3.6,9.4,3
1400000US36005008400,"Census Tract 84, Bronx County, New York",Bronx,3017,505,221,88,493,223,7.3,3.1,16.3,7.1
1400000US36005008500,"Census Tract 85, Bronx County, New York",Bronx,5416,728,423,195,470,141,7.8,3.2,8.7,2.5
1400000US36005008600,"Census Tract 86, Bronx County, New York",Bronx,3757,824,279,169,568,186,7.4,4.2,15.1,5.7
1400000US36005008700,"Census Tract 87, Bronx County, New York",Bronx,6230,798,399,145,544,176,6.4,2.2,8.7,2.7
1400000US36005008900,"Census Tract 89, Bronx County, New York",Bronx,2998,450,137,98,564,220,4.6,3.3,18.8,6.6
1400000US36005009000,"Census Tract 90, Bronx County, New York",Bronx,3574,613,337,160,459,170,9.4,3.9,12.8,4.3
1400000US36005009200,"Census Tract 92, Bronx County, New York",Bronx,6005,792,550,191,516,194,9.2,2.7,8.6,3.1
1400000US36005009301,"Census Tract 93.01, Bronx County, New York",Bronx,5343,958,512,154,361,100,9.6,2.8,6.8,2.5
1400000US36005009302,"Census Tract 93.02, Bronx County, New York",Bronx,579,201,0,12,7,14,0,5.9,1.2,2.3
1400000US36005009600,"Census Tract 96, Bronx County, New York",Bronx,2794,434,140,80,597,233,5,2.7,21.4,7.2
1400000US36005009800,"Census Tract 98, Bronx County, New York",Bronx,5019,885,139,65,1293,645,2.8,1.3,25.8,9.8
1400000US36005011000,"Census Tract 110, Bronx County, New York",Bronx,0,12,0,12,0,12,-,**,-,**
1400000US36005011502,"Census Tract 115.02, Bronx County, New York",Bronx,4297,968,365,163,367,161,8.5,3.2,8.5,4.1
1400000US36005011701,"Census Tract 117.01, Bronx County, New York",Bronx,1360,399,131,102,211,89,9.6,5.6,15.5,7.6
1400000US36005011702,"Census Tract 117.02, Bronx County, New York",Bronx,0,12,0,12,0,12,-,**,-,**
1400000US36005011800,"Census Tract 118, Bronx County, New York",Bronx,5645,700,302,143,683,138,5.3,2.4,12.1,2.4
1400000US36005011900,"Census Tract 119, Bronx County, New York",Bronx,5399,1160,297,182,520,140,5.5,3.2,9.6,2.4
1400000US36005012101,"Census Tract 121.01, Bronx County, New York",Bronx,3072,463,254,115,240,112,8.3,3.3,7.8,3.3
1400000US36005012102,"Census Tract 121.02, Bronx County, New York",Bronx,1338,261,62,64,146,114,4.6,4.9,10.9,7.8
1400000US36005012300,"Census Tract 123, Bronx County, New York",Bronx,4371,988,383,298,492,142,8.8,5.4,11.3,3.6
1400000US36005012500,"Census Tract 125, Bronx County, New York",Bronx,3859,539,258,121,303,138,6.7,3,7.9,3.6
1400000US36005012701,"Census Tract 127.01, Bronx County, New York",Bronx,2046,485,181,110,208,69,8.8,4.5,10.2,4
1400000US36005012901,"Census Tract 129.01, Bronx County, New York",Bronx,4677,762,354,218,479,135,7.6,4.2,10.2,3.5
1400000US36005013000,"Census Tract 130, Bronx County, New York",Bronx,1462,416,122,71,161,54,8.3,5,11,5
1400000US36005013100,"Census Tract 131, Bronx County, New York",Bronx,5221,665,302,134,464,188,5.8,2.5,8.9,3.2
1400000US36005013200,"Census Tract 132, Bronx County, New York",Bronx,7367,1033,485,254,985,192,6.6,3.3,13.4,3.4
1400000US36005013300,"Census Tract 133, Bronx County, New York",Bronx,5785,1125,189,134,595,136,3.3,2.5,10.3,2.8
1400000US36005013500,"Census Tract 135, Bronx County, New York",Bronx,3633,669,397,210,379,103,10.9,4.5,10.4,3.8
1400000US36005013800,"Census Tract 138, Bronx County, New York",Bronx,2853,451,200,123,537,133,7,4.2,18.8,4.8
1400000US36005014100,"Census Tract 141, Bronx County, New York",Bronx,5752,746,326,128,519,135,5.7,2.1,9,2.2
1400000US36005014300,"Census Tract 143, Bronx County, New York",Bronx,1647,329,98,48,114,75,6,3,6.9,4.1
1400000US36005014400,"Census Tract 144, Bronx County, New York",Bronx,5479,1127,436,293,1079,300,8,4.4,19.7,6.7
1400000US36005014500,"Census Tract 145, Bronx County, New York",Bronx,7112,1355,553,279,652,241,7.8,3.7,9.2,2.9
1400000US36005014701,"Census Tract 147.01, Bronx County, New York",Bronx,6162,1273,387,153,411,132,6.3,2.8,6.7,2.6
1400000US36005014702,"Census Tract 147.02, Bronx County, New York",Bronx,5274,934,331,142,678,370,6.3,2.6,12.9,6.5
1400000US36005014900,"Census Tract 149, Bronx County, New York",Bronx,4611,1039,358,244,407,103,7.8,3.9,8.8,2.9
1400000US36005015100,"Census Tract 151, Bronx County, New York",Bronx,5165,914,436,179,519,158,8.4,3.3,10,2.7
1400000US36005015200,"Census Tract 152, Bronx County, New York",Bronx,2604,453,137,74,375,92,5.3,2.6,14.4,4.3
1400000US36005015300,"Census Tract 153, Bronx County, New York",Bronx,4311,647,377,157,358,147,8.7,3.5,8.3,3.3
1400000US36005015500,"Census Tract 155, Bronx County, New York",Bronx,2934,605,342,215,187,75,11.7,5.5,6.4,2.6
1400000US36005015700,"Census Tract 157, Bronx County, New York",Bronx,4861,793,307,151,749,505,6.3,3.3,15.4,8.6
1400000US36005015800,"Census Tract 158, Bronx County, New York",Bronx,1307,341,115,83,186,44,8.8,5.2,14.2,4.3
1400000US36005015900,"Census Tract 159, Bronx County, New York",Bronx,2115,459,35,44,382,146,1.7,2.1,18.1,6.7
1400000US36005016000,"Census Tract 160, Bronx County, New York",Bronx,3769,489,46,56,705,161,1.2,1.5,18.7,4.3
1400000US36005016100,"Census Tract 161, Bronx County, New York",Bronx,4633,649,371,146,739,304,8,2.8,16,5.7
1400000US36005016200,"Census Tract 162, Bronx County, New York",Bronx,1839,369,159,146,343,100,8.6,7.1,18.7,6.1
1400000US36005016300,"Census Tract 163, Bronx County, New York",Bronx,0,12,0,12,0,12,-,**,-,**
1400000US36005016400,"Census Tract 164, Bronx County, New York",Bronx,1019,184,79,65,273,72,7.8,5.6,26.8,7.2
1400000US36005016500,"Census Tract 165, Bronx County, New York",Bronx,1028,235,111,59,32,23,10.8,4.6,3.1,2.4
1400000US36005016600,"Census Tract 166, Bronx County, New York",Bronx,2229,372,189,74,247,69,8.5,3.2,11.1,3.6
1400000US36005016700,"Census Tract 167, Bronx County, New York",Bronx,3568,624,362,133,205,80,10.1,3,5.7,2.3
1400000US36005016900,"Census Tract 169, Bronx County, New York",Bronx,1658,343,110,52,139,60,6.6,2.6,8.4,3.6
1400000US36005017100,"Census Tract 171, Bronx County, New York",Bronx,0,12,0,12,0,12,-,**,-,**
1400000US36005017300,"Census Tract 173, Bronx County, New York",Bronx,5963,967,128,123,1011,253,2.1,2,17,4.4
1400000US36005017500,"Census Tract 175, Bronx County, New York",Bronx,6584,970,449,317,979,302,6.8,4.3,14.9,4.6
1400000US36005017701,"Census Tract 177.01, Bronx County, New York",Bronx,4501,710,568,302,540,179,12.6,5.6,12,3.8
1400000US36005017702,"Census Tract 177.02, Bronx County, New York",Bronx,5201,947,346,151,538,216,6.7,2.9,10.3,3.4
1400000US36005017901,"Census Tract 179.01, Bronx County, New York",Bronx,4955,924,332,188,312,116,6.7,3.3,6.3,2.7
1400000US36005017902,"Census Tract 179.02, Bronx County, New York",Bronx,3966,733,316,231,253,126,8,5.3,6.4,3.3
1400000US36005018101,"Census Tract 181.01, Bronx County, New York",Bronx,3451,736,291,180,195,91,8.4,5.4,5.7,2.8
1400000US36005018102,"Census Tract 181.02, Bronx County, New York",Bronx,5404,837,290,125,918,580,5.4,2.3,17,9.1
1400000US36005018301,"Census Tract 183.01, Bronx County, New York",Bronx,4490,551,293,144,1013,205,6.5,3.1,22.6,4.9
1400000US36005018302,"Census Tract 183.02, Bronx County, New York",Bronx,3503,644,162,114,265,106,4.6,3.1,7.6,3.2
1400000US36005018400,"Census Tract 184, Bronx County, New York",Bronx,3997,718,349,258,557,167,8.7,5.4,13.9,4
1400000US36005018501,"Census Tract 185.01, Bronx County, New York",Bronx,2764,574,303,154,71,38,11,5.6,2.6,1.4
1400000US36005018502,"Census Tract 185.02, Bronx County, New York",Bronx,6395,1025,785,271,365,131,12.3,4,5.7,2.3
1400000US36005018900,"Census Tract 189, Bronx County, New York",Bronx,8112,1204,647,257,455,147,8,3.1,5.6,1.9
1400000US36005019300,"Census Tract 193, Bronx County, New York",Bronx,6289,1039,443,200,656,196,7,3.1,10.4,3.8
1400000US36005019400,"Census Tract 194, Bronx County, New York",Bronx,2285,294,131,56,290,79,5.7,2.5,12.7,3.7
1400000US36005019500,"Census Tract 195, Bronx County, New York",Bronx,7097,1170,201,151,593,153,2.8,2,8.4,2.4
1400000US36005019700,"Census Tract 197, Bronx County, New York",Bronx,7126,884,535,247,559,200,7.5,3.4,7.8,2.7
1400000US36005019900,"Census Tract 199, Bronx County, New York",Bronx,7937,1083,412,202,837,266,5.2,2.5,10.5,3.1
1400000US36005020000,"Census Tract 200, Bronx County, New York",Bronx,4750,604,398,128,433,178,8.4,2.2,9.1,3.6
1400000US36005020100,"Census Tract 201, Bronx County, New York",Bronx,3887,657,279,180,455,115,7.2,4,11.7,3.2
1400000US36005020200,"Census Tract 202, Bronx County, New York",Bronx,2387,355,156,64,374,132,6.5,2.7,15.7,5.3
1400000US36005020400,"Census Tract 204, Bronx County, New York",Bronx,3279,621,400,199,305,127,12.2,4.6,9.3,4.1
1400000US36005020501,"Census Tract 205.01, Bronx County, New York",Bronx,6910,1180,632,312,844,151,9.1,3.7,12.2,2.5
1400000US36005020502,"Census Tract 205.02, Bronx County, New York",Bronx,2285,393,121,58,380,81,5.3,2.5,16.6,4
1400000US36005020601,"Census Tract 206.01, Bronx County, New York",Bronx,2469,612,247,148,374,168,10,5.1,15.1,6.1
1400000US36005020900,"Census Tract 209, Bronx County, New York",Bronx,4466,702,192,159,408,91,4.3,3.3,9.1,2.2
1400000US36005021001,"Census Tract 210.01, Bronx County, New York",Bronx,8489,961,573,294,1278,470,6.7,3.3,15.1,4.4
1400000US36005021002,"Census Tract 210.02, Bronx County, New York",Bronx,7958,1472,620,273,1043,200,7.8,2.9,13.1,3.3
1400000US36005021100,"Census Tract 211, Bronx County, New York",Bronx,5642,997,444,328,496,181,7.9,4.7,8.8,3.4
1400000US36005021200,"Census Tract 212, Bronx County, New York",Bronx,4931,736,223,189,768,340,4.5,3.4,15.6,6.4
1400000US36005021301,"Census Tract 213.01, Bronx County, New York",Bronx,1175,351,84,110,115,46,7.1,7.7,9.8,5
1400000US36005021302,"Census Tract 213.02, Bronx County, New York",Bronx,5369,875,445,256,1349,622,8.3,4.9,25.1,8.7
1400000US36005021501,"Census Tract 215.01, Bronx County, New York",Bronx,4478,904,376,134,350,103,8.4,2.4,7.8,2.4
1400000US36005021502,"Census Tract 215.02, Bronx County, New York",Bronx,6397,1033,533,263,417,116,8.3,3.3,6.5,2.2
1400000US36005021601,"Census Tract 216.01, Bronx County, New York",Bronx,4436,552,437,150,386,105,9.9,3.2,8.7,2.5
